topicName,consumerGroupId,consumerGroupState,partition,currentOffset,endOffset,lag,memberCount,consumerGroupProtocol,simpleConsumerGroup,coordinator,members,metadata,partitionAssignor,state
fumitran,my-analytics-group,STABLE,8,124,124,,2,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-e4ab7c50-020b-4db9-bb8f-d3426b9fc481"", ""host"": ""/172.18.0.1""}, {""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,9,87,87,,2,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-e4ab7c50-020b-4db9-bb8f-d3426b9fc481"", ""host"": ""/172.18.0.1""}, {""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,0,80,80,,2,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-e4ab7c50-020b-4db9-bb8f-d3426b9fc481"", ""host"": ""/172.18.0.1""}, {""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,1,142,142,,2,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-e4ab7c50-020b-4db9-bb8f-d3426b9fc481"", ""host"": ""/172.18.0.1""}, {""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,2,85,85,,2,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-e4ab7c50-020b-4db9-bb8f-d3426b9fc481"", ""host"": ""/172.18.0.1""}, {""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,3,66,66,,2,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-e4ab7c50-020b-4db9-bb8f-d3426b9fc481"", ""host"": ""/172.18.0.1""}, {""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,4,39,39,,2,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-e4ab7c50-020b-4db9-bb8f-d3426b9fc481"", ""host"": ""/172.18.0.1""}, {""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,5,68,68,,2,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-e4ab7c50-020b-4db9-bb8f-d3426b9fc481"", ""host"": ""/172.18.0.1""}, {""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,6,68,68,,2,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-e4ab7c50-020b-4db9-bb8f-d3426b9fc481"", ""host"": ""/172.18.0.1""}, {""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
fumitran,my-analytics-group,STABLE,7,83,83,,2,,,"{""id"": 1, ""host"": ""kafka"", ""port"": 29092, ""bytesInPerSec"": null, ""bytesOutPerSec"": null, ""partitionsLeader"": null, ""partitions"": null, ""inSyncPartitions"": null, ""partitionsSkew"": null, ""leadersSkew"": null}","[{""consumerId"": ""rdkafka-e4ab7c50-020b-4db9-bb8f-d3426b9fc481"", ""host"": ""/172.18.0.1""}, {""consumerId"": ""rdkafka-3a07e83b-1c11-4a91-a118-a207fcb1b395"", ""host"": ""/172.18.0.1""}]",,range,STABLE
test-topic,,,,,,,,,,,,,,
